# Start logging at 2022-02-20 10:08:05 Tokyo Standard Time
[10:08:05] ktrZetto is live!
[10:08:05] 2022年2月20日
[12:56:11]  robertzarmy: 5M bits is absurd dude
[12:56:16]  robertzarmy: she had like 20 viewers
[12:56:30]  robertzarmy: where's your whale
[12:56:32]  robertzarmy: ?
[12:56:56]  robertzarmy: is he gonna come over and gift 10000 subs
[12:57:28]  303devilfish: widepeepoHappy
[12:59:19]  saltychildofthesea: Prayge Cheer5Million
[12:59:55]  saltychildofthesea: 50k deposit for pb
[12:59:56]  saltychildofthesea: Prayge
[13:00:05]  rinta_rnt: Cheer1億
[13:00:31]  saltychildofthesea: with an interest rate of 50% per min
[13:01:11]  diggs1977: ppHop
[13:01:11] diggs1977 subscribed at Tier 1. They've subscribed for 4 months!
[13:01:20]  saltychildofthesea: daphM they have interest now i make the rules
[13:01:31]  diggs1977: im doing well just chilling HYPERS
[13:01:34]  robertzarmy: looseb4Lul
[13:01:40]  saltychildofthesea: derek widepeepoHappy
[13:01:47]  diggs1977: salty peepoHug
[13:01:53]  saltychildofthesea: peepoHappy
[13:01:57]  saltychildofthesea: peepoHug
[13:02:05]  robertzarmy: i will cheer 5 million if u get wr THIS run.
[13:02:25]  robertzarmy: i will.
[13:02:27]  saltychildofthesea: theres 2 different emotes for THIS
[13:02:44]  diggs1977: id give you $5 if you pb THIS run
[13:03:06]  saltychildofthesea: theres THIS and THIS OMEGALUL
[13:03:14]  robertzarmy: those are the same.
[13:03:33]  robertzarmy: THIS THESE
[13:03:51]  saltychildofthesea: the stocking one and the booba are both this
[13:04:50]  303devilfish: VeiO
[13:05:34]  diggs1977: check chaterino vs browser chat zetto
[13:05:34]  saltychildofthesea: they're different in the 7tv menu
[13:06:00]  diggs1977: its thighs on my broswer booba on my chaterin0
[13:06:07]  saltychildofthesea: same
[13:06:17]  saltychildofthesea: THIS is the run
[13:06:26]  rinta_rnt: Cheer1 MapoTofuParty
[13:06:38]  saltychildofthesea: THOSE are some good splits
[13:06:55]  saltychildofthesea: THESE are some emotes
[13:08:17]  saltychildofthesea: 🪣 spilledGlue whoops spilled glue
[13:09:46]  saltychildofthesea: Pog green
[13:17:10]  laurabraus: ok imma go to sleep good luck
[13:17:27]  saltychildofthesea: nini laura HYPERS
[13:17:28]  laurabraus: this is the run
[13:17:44]  laurabraus: night salty :)
[13:17:53]  saltychildofthesea: :)
[13:18:42]  saltychildofthesea: :) 👍
[13:18:47]  andrewangus: :)
[13:19:14]  saltychildofthesea: i love how threatening :) is
[13:20:21]  saltychildofthesea: its fine im not mad :)
[13:20:52]  saltychildofthesea: your house isn't burning in minecraft right now :) 👌
[13:21:04]  andrewangus: LUL
[13:21:49]  saltychildofthesea: 5Head hole = house
[13:22:57]  saltychildofthesea: surprise lava hot tub 🔥 :) 🔥
[13:23:33]  saltychildofthesea: lava is a naturally occuring thing in Minecraft
[13:24:54]  saltychildofthesea: whoops dropped my flint and steel and it accidentally lit the entire house on fire :)
[13:25:34]  saltychildofthesea: my cat right clicked the wood
[13:25:35]  saltychildofthesea: :)
[13:25:41]  robertzarmy: japan will not be nuked in 10 minutes :)
[13:25:43]  saltychildofthesea: schabo1Bruh
[13:25:52]  saltychildofthesea: monkaW
[13:26:22]  saltychildofthesea: i am not outside your bedroom :)
[13:27:41]  saltychildofthesea: keep going Prayge
[13:28:11]  saltychildofthesea: COPIUM but timesave
[13:28:53]  saltychildofthesea: this is the whomps of 70 star
[13:29:42]  saltychildofthesea: everything is whomps schabo1Think
[13:30:22]  saltychildofthesea: bowser 1 2 and 3 are whomps
[13:31:59]  saltychildofthesea: they're 100% whomps
[13:33:32]  saltychildofthesea: throwing a bowser throw on a pb pace run in b3 daphPain
[13:34:56]  saltychildofthesea: super mario odyssey is just super mario 65
[13:35:39]  saltychildofthesea: its mario 64 but +1
[13:35:54]  saltychildofthesea: and instead of stars its moons
[13:36:32]  saltychildofthesea: true
[13:37:44]  saltychildofthesea: Prayge coin rng
[13:38:24]  saltychildofthesea: still green COPIUM
[13:38:57]  robertzarmy: gg
[13:39:06]  saltychildofthesea: best possible time looks imaginary WAYTOODANK
[13:39:49]  saltychildofthesea: HYPERS you'll get it eventually i believe
[13:40:37]  saltychildofthesea: Prayge
[13:41:22]  saltychildofthesea: that was close monkaW
[13:41:42]  saltychildofthesea: ah
[13:42:21]  saltychildofthesea: i don't watch many 70 star runs so i don't know how most of the stars go
[13:43:20]  saltychildofthesea: ahh alright
[13:44:09]  saltychildofthesea: clint went live not too long ago right?
[13:44:09]  nightbot: clintJAM
[13:44:31]  saltychildofthesea: damn
[13:45:46]  saltychildofthesea: Sadge unlucky
[13:49:45]  saltychildofthesea: rip this isnt the run daphPain
[13:49:56]  saltychildofthesea: 13.7
[13:50:05]  saltychildofthesea: nvm
[13:50:08]  saltychildofthesea: Sadge
[13:50:48]  saltychildofthesea: ok :) 👍
[13:52:06]  saltychildofthesea: red = dead run SadCatW
[13:52:20]  saltychildofthesea: 13.8
[13:52:41]  saltychildofthesea: FUCk Sadge
[13:53:04]  saltychildofthesea: Prayge 1 more
[13:54:33]  saltychildofthesea: jesus its almost 9 am
[13:54:49]  saltychildofthesea: 2 days ago
[13:54:58]  saltychildofthesea: its for research
[13:55:28]  saltychildofthesea: no its effects of sleep deprevation
[13:55:45]  saltychildofthesea: as it relates to dreaming
[13:56:00]  saltychildofthesea: yes HYPERS
[13:56:19]  saltychildofthesea: POG
[13:56:21]  saltychildofthesea: Pog
[13:56:38]  saltychildofthesea: best times Pog
[13:57:43]  saltychildofthesea: my hypothesis is around 12~16 hours
[13:58:33]  saltychildofthesea: im 100% gonna get a 4.0 this semester
[13:59:18]  saltychildofthesea: i respect myself :)
[13:59:29]  saltychildofthesea: but this is for science PogChamp
[14:00:40]  saltychildofthesea: monkaW what a dumbass
[14:01:41]  saltychildofthesea: 13.4
[14:02:40]  saltychildofthesea: Prayge still pb potential
[14:04:40]  saltychildofthesea: i have officially been awake for 3 days daphPain
[14:05:44]  saltychildofthesea: Prayge hopefully you gold the rest of the run
[14:06:00]  saltychildofthesea: Sadge FUCK
[14:07:53]  saltychildofthesea: Prayge this is the run
[14:08:32]  saltychildofthesea: Prayge nvm this is the run
[14:09:02]  saltychildofthesea: COPIUM this run will grow up to be a doctor
[14:09:32]  saltychildofthesea: SadCatW actually predicted it
[14:10:53]  saltychildofthesea: you saying head on reminded me of this commercial https://youtu.be/zn2P5asJdeM
[14:11:30]  saltychildofthesea: damn
[14:11:49]  saltychildofthesea: its the one with the HeadOn like headache thing
[14:12:07]  cosmicmikan: hey hey
[14:12:26]  cosmicmikan: not wet. fantastic
[14:12:42]  saltychildofthesea: hey bear HYPERS
[14:12:43]  cosmicmikan: uhh 2-3 hours
[14:12:47]  cosmicmikan: hi!
[14:12:59]  cosmicmikan: yes
[14:13:05]  cosmicmikan: sometimes i wanna shave it off
[14:13:08]  chisasfam: going to work :s
[14:13:13]  chisasfam: howre runs going!
[14:13:27]  chisasfam: nice nice
[14:13:37]  chisasfam: i saw!
[14:14:23]  chisasfam: same , I dont wana be bald
[14:14:28]  chisasfam: I like being long haired
[14:14:36]  cosmicmikan: i had to one time, because most of it fell off
[14:14:42]  cosmicmikan: and i had an afro for a year
[14:14:46]  cosmicmikan: wanted to shoot myself
[14:15:22]  cosmicmikan: balding ktr, what an image
[14:15:58]  saltychildofthesea: egghead
[14:16:05]  cosmicmikan: LUL
[14:16:35]  saltychildofthesea: 🥚 Clap
[14:17:21]  cosmicmikan: i had just started college and it was so embarrassing
[14:17:41]  saltychildofthesea: brb getting meds
[14:17:54]  cosmicmikan: i went to a salon to get it straightened
[14:18:01]  pulsejp: ktrzetAyo
[14:18:06]  cosmicmikan: and she left the chemicals on too long
[14:18:15]  cosmicmikan: and it just broke off
[14:18:50]  cosmicmikan: noo it didnt happen for a week or two
[14:19:18]  pulsejp: pjpDerp
[14:19:28]  pulsejp: Damn I would be Madge
[14:19:32]  cosmicmikan: naa my hair just didnt break off for a while
[14:19:52]  pulsejp: joshin16GREEN
[14:19:53]  cosmicmikan: noo it was just super dry and brittle
[14:20:04]  cosmicmikan: they make the hair straight
[14:20:12]  cosmicmikan: nope
[14:20:23]  pulsejp: Sadge
[14:20:38]  cosmicmikan: im good now tho. i went natural
[14:20:40]  cosmicmikan: best decision
[14:20:57]  cosmicmikan: you leave it on for max 30mins
[14:21:09]  cosmicmikan: she had a phone call and left it on too long LOL
[14:21:19]  cosmicmikan: yeah but with my hair type, its kinda impossible
[14:23:18]  cosmicmikan: HELL YEAH
[14:23:20]  cosmicmikan: i love pizza
[14:24:00]  cosmicmikan: damn wow
[14:24:09]  cosmicmikan: i had pizza yesterday lmao
[14:24:26]  cosmicmikan: oh we make it at home
[14:24:32]  cosmicmikan: i have a bread maker
[14:24:47]  saltychildofthesea: back
[14:24:53]  saltychildofthesea: bread makers are OP
[14:25:06]  cosmicmikan: why are you acting like you just realized i was cool?
[14:25:09]  cosmicmikan: @saltychildofthesea wb!
[14:25:24]  saltychildofthesea: makes bread from the name
[14:25:27]  cosmicmikan: LOL
[14:25:45]  cosmicmikan: HAHAHAHAHHA
